,Name,Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Brand,New_Year
981,Maruti Baleno Vxi - BSIII,Pune,1609.61,2006,146000,Petrol,Manual,Second,15,1590,94,5,Maruti,18
982,Ford EcoSport 1.5 TDCi Titanium,Bangalore,10730.72,2015,47037,Diesel,Manual,Second,22,1498,98,5,Ford,9
983,Hyundai Accent GLE,Ahmedabad,3832.4,2010,58000,Petrol,Manual,Second,13,1495,94,5,Hyundai,14
984,BMW 5 Series 520d Luxury Line,Mumbai,26826.8,2012,61240,Diesel,Automatic,First,22,1995,190,5,BMW,12
985,Maruti Alto K10 2010-2014 VXI,Chennai,3219.22,2011,91211,Petrol,Manual,First,20,998,67,5,Maruti,13
986,Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,Bangalore,27210.04,2013,84000,Diesel,Automatic,First,15,1968,174,5,Audi,11
987,Maruti Wagon R LXI DUO BSIII,Mumbai,2222.79,2008,64226,LPG,Manual,First,17,1061,57,5,Maruti,16
988,Toyota Corolla H4,Bangalore,3755.75,2005,67000,Petrol,Automatic,Second,11,1794,125,5,Toyota,19
989,Volvo XC60 D5,Pune,21154.85,2011,106976,Diesel,Automatic,First,13,2400,215,5,Volvo,13
990,Honda Jazz 1.5 VX i DTEC,Kolkata,8967.82,2016,27210,Diesel,Manual,First,27,1498,98,5,Honda,8
991,Maruti Ciaz 1.3 Alpha,Delhi,13643.34,2017,26322,Diesel,Manual,First,28,1248,88,5,Maruti,7
992,Maruti Swift VXI BSIV,Mumbai,7894.74,2016,9107,Petrol,Manual,First,20,1197,81,5,Maruti,8
993,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,25385.82,2015,63983,Diesel,Automatic,First,19,2143,170,5,Mercedes-Benz,9
994,Maruti Wagon R VXI Minor,Chennai,2529.38,2010,134000,Petrol,Manual,Second,18,1061,67,5,Maruti,14
995,Mercedes-Benz A Class A180 Sport,Pune,24527.36,2015,11000,Petrol,Automatic,First,15,1595,120,5,Mercedes-Benz,9
996,Hyundai Santro Xing GL,Pune,2222.79,2008,93000,Petrol,Manual,First,17,1086,62,5,Hyundai,16
997,Maruti Swift Dzire AMT ZDI,Coimbatore,12386.32,2017,24852,Diesel,Automatic,First,26,1248,74,5,Maruti,7
998,Hyundai Grand i10 AT Asta,Pune,6898.32,2014,37632,Petrol,Automatic,First,18,1197,82,5,Hyundai,10
999,Nissan Sunny 2011-2014 XV Special Edition,Chennai,6591.73,2013,55000,Petrol,Manual,Second,16,1498,97,5,Nissan,11
1000,Maruti A-Star Lxi,Hyderabad,3985.7,2010,81448,Petrol,Manual,First,19,998,66,5,Maruti,14
1001,Renault KWID RXT Optional,Hyderabad,6821.67,2018,1900,Petrol,Manual,First,25,799,53,5,Renault,6
1002,Hyundai Verna 1.6 SX VTVT (O) AT,Coimbatore,8232.0,2012,54957,Petrol,Automatic,First,17,1591,121,5,Hyundai,12
1003,Maruti Wagon R LXI Minor,Chennai,2682.68,2008,55000,Petrol,Manual,Second,18,1061,67,5,Maruti,16
1004,BMW 3 Series 320d Sport Line,Kolkata,25293.84,2013,21983,Diesel,Automatic,First,18,1995,184,5,BMW,11
1005,BMW 5 Series 2003-2012 520d,Delhi,29126.24,2013,76000,Diesel,Automatic,First,18,1995,177,5,BMW,11
1006,Tata Indigo CS eVX,Jaipur,4292.29,2016,65000,Diesel,Manual,First,25,1396,69,5,Tata,8
1007,Hyundai i20 Sportz 1.4 CRDi,Hyderabad,9504.35,2015,26000,Diesel,Manual,First,22,1396,88,5,Hyundai,9
1008,Maruti Omni E MPI STD BS IV,Kochi,5825.25,2019,11571,Petrol,Manual,First,16,796,34,8,Maruti,5
1009,Maruti Swift ZDi,Hyderabad,9351.06,2014,81000,Diesel,Manual,First,25,1248,74,5,Maruti,10
1010,Ford Ecosport Signature Edition Diesel,Coimbatore,17858.98,2019,23154,Diesel,Manual,First,23,1498,98,5,Ford,5
1011,Honda Brio VX AT,Mumbai,6361.78,2014,26856,Petrol,Automatic,First,16,1198,86,5,Honda,10
1012,Toyota Innova Crysta 2.4 GX MT,Chennai,25293.84,2017,67489,Diesel,Manual,First,13,2393,147,7,Toyota,7
1013,Mahindra Scorpio 2.6 LX,Bangalore,6591.73,2008,176000,Diesel,Manual,Second,10,2179,120,8,Mahindra,16
1014,Hyundai i20 1.2 Magna,Kolkata,3449.16,2010,18000,Petrol,Manual,First,18,1197,80,5,Hyundai,14
1015,Hyundai Verna 1.6 SX,Ahmedabad,10347.48,2014,63003,Diesel,Manual,First,22,1582,126,5,Hyundai,10
1016,Mahindra XUV500 W6 2WD,Chennai,14409.82,2014,80000,Diesel,Manual,First,15,2179,140,7,Mahindra,10
1017,Volkswagen Vento 1.5 TDI Comfortline,Coimbatore,8262.65,2014,56658,Diesel,Manual,First,20,1498,108,5,Volkswagen,10
1018,Maruti Swift Dzire VDI Optional,Kochi,13045.49,2019,18592,Diesel,Manual,First,26,1248,74,5,Maruti,5
1019,Tata Manza Aura Safire BS IV,Pune,2835.98,2010,75695,Petrol,Manual,First,13,1368,88,5,Tata,14
1020,Maruti Swift VDI,Kolkata,3832.4,2012,82000,Diesel,Manual,Second,22,1248,74,5,Maruti,12
1021,Volkswagen Polo Diesel Highline 1.2L,Chennai,7281.56,2013,60000,Diesel,Manual,First,22,1199,73,5,Volkswagen,11
1022,Honda City 1.5 V MT,Pune,5365.36,2009,138000,Petrol,Manual,Second,17,1497,118,5,Honda,15
1023,Hyundai i20 Asta (o) 1.4 CRDi (Diesel),Bangalore,8431.28,2014,67000,Diesel,Manual,First,23,1396,90,5,Hyundai,10
1024,Honda City 1.5 V MT,Coimbatore,9703.64,2012,42750,Petrol,Manual,First,17,1497,118,5,Honda,12
1025,Chevrolet Beat Diesel,Kochi,3786.41,2014,52398,Diesel,Manual,First,25,936,57,5,Chevrolet,10
1026,Chevrolet Spark 1.0 LS,Kochi,5058.77,2014,36657,Petrol,Manual,First,16,995,62,5,Chevrolet,10
1027,Tata New Safari DICOR 2.2 EX 4x2,Delhi,5365.36,2011,77000,Diesel,Manual,Second,11,2179,138,7,Tata,13
1028,Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Delhi,59402.2,2014,85000,Diesel,Automatic,First,11,2987,254,7,Mercedes-Benz,10
1029,BMW 5 Series 2003-2012 530d Highline,Pune,12248.35,2008,112500,Diesel,Automatic,First,11,2993,235,5,BMW,16
1030,Toyota Fortuner 2.8 4WD MT,Kochi,20357.71,2013,105072,Diesel,Manual,First,14,2755,174,7,Toyota,11
1031,BMW X1 sDrive 18i,Pune,14563.12,2012,80000,Petrol,Automatic,First,11,1995,150,5,BMW,12
1032,Renault Captur 1.5 Diesel Platine Mono,Kochi,21476.77,2019,3102,Diesel,Manual,First,20,1461,108,5,Renault,5
1033,Hyundai Xcent 1.1 CRDi S,Coimbatore,10715.39,2016,14656,Diesel,Manual,First,24,1120,71,5,Hyundai,8
1034,BMW 3 Series 320d,Hyderabad,16862.56,2010,105000,Diesel,Automatic,Second,13,1995,170,5,BMW,14
1035,BMW 5 Series 2010-2013 525i,Hyderabad,16862.56,2008,61000,Petrol,Automatic,Second,10,2497,215,5,BMW,16
1036,Nissan Micra XE,Pune,3525.81,2010,85046,Petrol,Manual,Second,18,1198,75,5,Nissan,14
1037,Jaguar XF 2.2 Litre Luxury,Delhi,40623.44,2014,48000,Diesel,Automatic,First,16,2179,187,5,Jaguar,10
1038,Land Rover Range Rover TDV8 (Diesel),Bangalore,102708.32,2011,55000,Diesel,Automatic,First,10,4367,308,7,Land,13
1039,Jeep Compass 1.4 Limited Option,Mumbai,27210.04,2017,4000,Petrol,Automatic,First,16,1368,160,5,Jeep,7
1040,Honda CR-V 2.4 AT,Delhi,7358.21,2010,94000,Petrol,Automatic,Second,10,2354,152,5,Honda,14
1041,Maruti Swift VXI,Coimbatore,7005.63,2013,61110,Petrol,Manual,First,18,1197,85,5,Maruti,11
1042,Hyundai Xcent 1.1 CRDi S,Chennai,5365.36,2016,80000,Diesel,Manual,First,24,1120,71,5,Hyundai,8
1043,Nissan Terrano XV Premium 110 PS,Kochi,11665.83,2015,43190,Diesel,Manual,First,19,1461,108,5,Nissan,9
1044,Audi A4 35 TDI Technology,Hyderabad,38324.0,2015,45000,Diesel,Automatic,First,18,1968,187,5,Audi,9
1045,Hyundai Grand i10 Asta Option,Coimbatore,9013.8,2016,44178,Petrol,Manual,First,18,1197,82,5,Hyundai,8
1046,Toyota Innova 2.5 G (Diesel) 8 Seater,Hyderabad,20694.96,2015,84415,Diesel,Manual,First,12,2494,100,8,Toyota,9
1047,Hyundai i20 1.2 Magna,Kolkata,7051.62,2015,35000,Petrol,Manual,First,18,1197,80,5,Hyundai,9
1048,Ford EcoSport 1.5 TDCi Titanium,Kolkata,7511.5,2013,44000,Diesel,Manual,First,22,1498,98,5,Ford,11
1049,Honda City 1.5 S MT,Hyderabad,8048.04,2012,67635,Petrol,Manual,First,17,1497,118,5,Honda,12
1050,Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,19024.03,2018,18385,Petrol,Automatic,First,14,1497,121,5,Ford,6
1051,Volkswagen Polo Diesel Highline 1.2L,Kolkata,5825.25,2014,35000,Diesel,Manual,First,22,1199,73,5,Volkswagen,10
1052,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Mumbai,13719.99,2010,49000,Diesel,Automatic,First,19,2143,170,5,Mercedes-Benz,14
1053,Ford Ecosport 1.5 DV5 MT Titanium,Hyderabad,11037.31,2013,69000,Diesel,Manual,First,22,1498,89,5,Ford,11
1054,Tata Indigo GLE,Hyderabad,6898.32,2017,23228,Petrol,Manual,First,14,1396,65,5,Tata,7
1055,Maruti Swift Dzire LDI,Delhi,6361.78,2014,68462,Diesel,Manual,First,26,1248,74,5,Maruti,10
1056,Maruti S-Cross Zeta DDiS 200 SH,Coimbatore,12171.7,2016,74611,Diesel,Manual,First,25,1248,88,5,Maruti,8
1057,Renault Duster 110PS Diesel RxZ Pack,Pune,11113.96,2014,90000,Diesel,Manual,First,19,1461,108,5,Renault,10
1058,Maruti Wagon R VXI,Delhi,5671.95,2016,22000,Petrol,Manual,First,18,998,67,5,Maruti,8
1059,Hyundai Santro Xing GL,Hyderabad,3755.75,2010,58163,Petrol,Manual,First,17,1086,62,5,Hyundai,14
1060,Chevrolet Beat Diesel LT,Chennai,2299.44,2011,109500,Diesel,Manual,Third,25,936,57,5,Chevrolet,13
1061,Mahindra XUV500 W4 1.99 mHawk,Delhi,18395.52,2017,13363,Diesel,Manual,First,16,1997,140,7,Mahindra,7
1062,Hyundai i10 Era 1.1,Delhi,3372.51,2012,51000,Petrol,Manual,Second,19,1086,68,5,Hyundai,12
1063,Tata New Safari DICOR 2.2 EX 4x4,Hyderabad,5518.66,2007,103000,Diesel,Manual,First,13,2179,138,7,Tata,17
1064,Hyundai i10 Sportz,Kolkata,2943.28,2009,43002,Petrol,Manual,First,20,1197,78,5,Hyundai,15
1065,Toyota Innova Crysta 2.8 ZX AT,Bangalore,31425.68,2016,108000,Diesel,Automatic,First,11,2755,171,7,Toyota,8
1066,Skoda Laura Elegance MT,Jaipur,6515.08,2010,82407,Diesel,Manual,First,17,1896,106,5,Skoda,14
1067,Hyundai Grand i10 Sportz,Kolkata,4905.47,2013,29000,Petrol,Manual,First,18,1197,82,5,Hyundai,11
1068,Toyota Etios Liva GD,Pune,3985.7,2012,225000,Diesel,Manual,Second,23,1364,112,5,Toyota,12
1069,Maruti Swift Dzire VDI,Kolkata,5901.9,2014,45000,Diesel,Manual,First,23,1248,74,5,Maruti,10
1070,Hyundai i20 Asta 1.4 CRDi (Diesel),Kochi,5334.7,2010,93401,Diesel,Manual,First,23,1396,90,5,Hyundai,14
1071,Ford Figo 2015-2019 1.5D Trend MT,Hyderabad,6974.97,2017,95802,Diesel,Manual,Second,25,1498,99,5,Ford,7
1072,Maruti Ertiga VDI,Pune,10730.72,2016,130000,Diesel,Manual,First,25,1248,88,7,Maruti,8
1073,Maruti Ertiga ZDI,Ahmedabad,8814.52,2013,67443,Diesel,Manual,First,20,1248,88,7,Maruti,11
1074,Honda City 1.5 V AT Sunroof,Kochi,13382.74,2016,47681,Petrol,Automatic,First,16,1497,116,5,Honda,8
1075,Maruti Alto LXi BSIII,Hyderabad,2606.03,2009,35000,Petrol,Manual,First,19,796,46,5,Maruti,15
1076,Ford Endeavour 3.2 Titanium AT 4X4,Hyderabad,45222.32,2016,68000,Diesel,Automatic,First,10,3198,197,7,Ford,8
1077,Maruti Vitara Brezza ZDi Plus,Kochi,16080.75,2019,34688,Diesel,Manual,First,24,1248,88,5,Maruti,5
1078,Porsche Boxster S tiptronic,Kolkata,98109.44,2015,10512,Petrol,Automatic,First,8,2706,265,2,Porsche,9
1079,Maruti Swift ZDi,Pune,11573.85,2016,58000,Diesel,Manual,First,22,1248,74,5,Maruti,8
1080,Tata Zest Revotron 1.2 XT,Mumbai,6055.19,2014,40000,Petrol,Manual,First,17,1193,88,5,Tata,10
1081,Hyundai i20 1.2 Sportz Option,Bangalore,4982.12,2010,61000,Petrol,Manual,Fourth & Above,17,1197,80,5,Hyundai,14
1082,Skoda Fabia 1.4 TDI Active,Mumbai,4215.64,2009,86000,Diesel,Manual,First,19,1422,70,5,Skoda,15
1083,Toyota Corolla Altis D-4D J,Kolkata,11267.26,2015,45000,Diesel,Manual,First,21,1364,87,5,Toyota,9
1084,Volkswagen Ameo 1.2 MPI Comfortline,Ahmedabad,7204.91,2017,55000,Petrol,Manual,First,17,1198,73,5,Volkswagen,7
1085,Hyundai Creta 1.6 VTVT S,Kochi,13444.06,2016,36855,Petrol,Manual,Second,15,1591,121,5,Hyundai,8
1086,Hyundai i10 Magna 1.2,Kochi,5242.72,2013,46821,Petrol,Manual,First,20,1197,78,5,Hyundai,11
1087,Chevrolet Beat LS,Kolkata,3832.4,2015,120000,Petrol,Manual,First,18,1199,76,5,Chevrolet,9
1088,Jaguar XF 3.0 Litre S Premium Luxury,Kolkata,30659.2,2012,29000,Diesel,Automatic,First,14,2993,270,5,Jaguar,12
1089,Nissan Terrano XL,Mumbai,8048.04,2014,40000,Petrol,Manual,First,13,1598,102,5,Nissan,10
1090,Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,Delhi,22227.92,2013,60000,Diesel,Automatic,Second,15,1968,174,5,Audi,11
1091,Hyundai i10 Asta AT,Mumbai,5288.71,2011,64984,Petrol,Automatic,First,16,1197,78,5,Hyundai,13
1092,Maruti Alto K10 VXI AGS,Pune,5058.77,2015,73204,Petrol,Automatic,First,24,998,67,5,Maruti,9
1093,Audi Q7 4.2 TDI Quattro Technology,Bangalore,78180.96,2014,50000,Diesel,Automatic,First,11,4134,335,7,Audi,10
1094,Maruti Vitara Brezza VDi,Kolkata,9964.24,2017,35000,Diesel,Manual,First,24,1248,88,5,Maruti,7
1095,Hyundai EON D Lite Plus,Hyderabad,5595.3,2013,17729,Petrol,Manual,First,21,814,55,5,Hyundai,11
1096,Mahindra XUV300 W8 Diesel,Chennai,11113.96,2012,97000,Diesel,Manual,First,20,1497,115,5,Mahindra,12
1097,Hyundai Verna CRDi 1.6 SX Option,Kochi,9213.09,2014,89614,Diesel,Manual,First,22,1582,126,5,Hyundai,10
1098,Maruti Wagon R VXI,Kolkata,4292.29,2015,14000,Petrol,Manual,First,18,998,67,5,Maruti,9
1099,Hyundai i20 Sportz Option,Chennai,6131.84,2012,50000,Petrol,Manual,First,17,1197,80,5,Hyundai,12
1100,Honda City i VTEC V,Delhi,9121.11,2014,62505,Petrol,Manual,First,17,1497,117,5,Honda,10
1101,Toyota Innova 2.5 V Diesel 7-seater,Chennai,14103.23,2011,248000,Diesel,Manual,Second,12,2494,102,7,Toyota,13
1102,Hyundai Verna CRDi SX,Pune,8201.34,2012,94900,Diesel,Manual,First,16,1493,110,5,Hyundai,12
1103,Tata Hexa XT,Delhi,18395.52,2017,55000,Diesel,Manual,First,17,2179,153,7,Tata,7
1104,Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,59693.46,2015,53735,Diesel,Automatic,Second,12,2967,241,7,Audi,9
1105,Maruti Wagon R VXI,Coimbatore,4123.66,2008,53934,Petrol,Manual,Second,18,998,67,5,Maruti,16
1106,BMW 5 Series 2013-2017 525d Luxury Line,Bangalore,42156.4,2013,58500,Diesel,Automatic,Second,17,1995,218,5,BMW,11
1107,Honda Amaze EX i-Vtech,Kolkata,4215.64,2014,48000,Petrol,Manual,First,18,1198,86,5,Honda,10
1108,Maruti Alto 800 2016-2019 LXI,Mumbai,4292.29,2016,24000,Petrol,Manual,First,24,796,47,5,Maruti,8
1109,Hyundai Verna 1.6 SX VTVT,Mumbai,9887.59,2016,52001,Petrol,Manual,First,17,1591,121,5,Hyundai,8
1110,Tata Tiago 1.2 Revotron XZ,Coimbatore,9013.8,2018,9565,Petrol,Manual,First,23,1199,84,5,Tata,6
1111,Maruti Swift LXI,Pune,7128.26,2013,32953,Petrol,Manual,First,18,1197,85,5,Maruti,11
1112,Hyundai EON Era,Jaipur,3832.4,2014,18000,Petrol,Manual,First,21,814,55,5,Hyundai,10
1113,Mercedes-Benz E-Class E 220 d,Kochi,78717.5,2018,20446,Petrol,Automatic,First,12,1950,191,5,Mercedes-Benz,6
1114,Hyundai i20 Magna 1.4 CRDi,Hyderabad,10500.78,2016,33016,Diesel,Manual,First,22,1396,88,5,Hyundai,8
1115,Toyota Etios VD,Chennai,8048.04,2012,48000,Diesel,Manual,First,23,1364,67,5,Toyota,12
1116,Toyota Corolla Altis Diesel D4DG,Coimbatore,14149.22,2014,72022,Diesel,Manual,First,21,1364,87,5,Toyota,10
1117,Mini Cooper 5 DOOR D,Ahmedabad,33725.12,2014,34000,Diesel,Automatic,First,20,1496,113,5,Mini,10
1118,Volkswagen Polo 1.5 TDI Highline,Hyderabad,7956.06,2014,69000,Diesel,Manual,First,20,1498,88,5,Volkswagen,10
1119,Skoda Superb Elegance 1.8 TSI AT,Pune,6668.38,2009,108000,Petrol,Automatic,First,13,1798,157,5,Skoda,15
1120,Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Hyderabad,37557.52,2013,34700,Diesel,Automatic,First,10,2148,170,5,Mercedes-Benz,11
1121,Maruti Swift VDi BSIII W/ ABS,Pune,8814.52,2015,79000,Diesel,Manual,First,17,1248,75,5,Maruti,9
1122,Honda City i VTEC CVT VX,Kochi,14087.9,2016,58197,Petrol,Automatic,First,18,1497,117,5,Honda,8
1123,BMW 7 Series 2007-2012 740Li,Pune,16479.32,2008,66000,Petrol,Automatic,Second,8,2979,321,5,BMW,16
1124,Hyundai i10 Magna AT,Bangalore,4583.55,2009,60000,Petrol,Automatic,First,19,1197,80,5,Hyundai,15
1125,Maruti Swift Dzire VDI,Kolkata,5963.21,2014,57000,Diesel,Manual,First,26,1248,74,5,Maruti,10
1126,Honda City i DTec VX,Coimbatore,17981.62,2018,45555,Diesel,Manual,First,26,1498,98,5,Honda,6
1127,Maruti Omni 8 Seater BSIV,Coimbatore,4767.51,2016,55137,Petrol,Manual,First,14,796,35,5,Maruti,8
1128,Skoda Superb 2009-2014 Elegance 2.0 TDI MT,Jaipur,22151.27,2014,93325,Diesel,Manual,Second,17,1968,138,5,Skoda,10
1129,Maruti Ertiga SHVS VDI,Ahmedabad,13336.75,2018,38000,Diesel,Manual,First,24,1248,88,7,Maruti,6
1130,Hyundai Grand i10 CRDi Magna,Kochi,7726.12,2016,57738,Diesel,Manual,First,24,1120,70,5,Hyundai,8
1131,Maruti Ciaz VDi Plus SHVS,Jaipur,13030.16,2017,38282,Diesel,Manual,First,28,1248,88,5,Maruti,7
1132,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Delhi,23990.82,2014,64000,Diesel,Automatic,First,19,2143,170,5,Mercedes-Benz,10
1133,Fiat Avventura MULTIJET Emotion,Mumbai,8661.22,2015,32000,Diesel,Manual,First,20,1248,91,5,Fiat,9
1134,Mercedes-Benz E-Class 2009-2013 E 250 Elegance,Bangalore,25293.84,2010,83000,Petrol,Automatic,First,10,2497,204,5,Mercedes-Benz,14
1135,Maruti Zen Estilo LXI Green (CNG),Ahmedabad,3065.92,2011,76000,CNG,Manual,First,26,998,67,5,Maruti,13
1136,Volkswagen Vento Petrol Highline,Pune,5978.54,2012,67200,Petrol,Manual,First,15,1598,103,5,Volkswagen,12
1137,BMW 3 Series 320d Luxury Line,Jaipur,22227.92,2013,62655,Diesel,Automatic,First,18,1995,184,5,BMW,11
1138,BMW 5 Series 2013-2017 530d M Sport,Bangalore,67450.24,2015,16900,Diesel,Automatic,First,14,2993,258,5,BMW,9
1139,Hyundai Grand i10 1.2 Kappa Magna,Delhi,7664.8,2017,8471,Petrol,Manual,First,18,1197,81,5,Hyundai,7
1140,Toyota Innova Crysta 2.8 ZX AT,Hyderabad,30275.96,2016,69000,Diesel,Automatic,First,11,2755,171,7,Toyota,8
1141,Renault Duster 110PS Diesel RxZ AMT,Coimbatore,17537.06,2017,30090,Diesel,Automatic,First,19,1461,108,5,Renault,7
1142,Tata Indica Vista Aura 1.3 Quadrajet,Chennai,2682.68,2011,120000,Diesel,Manual,First,18,1248,75,5,Tata,13
1143,Maruti Swift VDI BSIV,Bangalore,8584.58,2013,23000,Diesel,Manual,First,17,1248,112,5,Maruti,11
1144,Mercedes-Benz E-Class 2009-2013 E 200 CGI Avantgarde,Kochi,46632.64,2016,35939,Petrol,Manual,First,12,1796,185,5,Mercedes-Benz,8
1145,Mahindra XUV500 W8 4WD,Coimbatore,14670.43,2013,116694,Diesel,Manual,First,15,2179,140,7,Mahindra,11
1146,Mahindra Bolero ZLX,Mumbai,5365.36,2016,40448,Diesel,Manual,First,15,2523,62,7,Mahindra,8
1147,Maruti Vitara Brezza ZDi,Coimbatore,16034.76,2018,64456,Diesel,Manual,First,24,1248,88,5,Maruti,6
1148,Fiat Avventura MULTIJET Emotion,Pune,7434.86,2014,52782,Diesel,Manual,First,20,1248,91,5,Fiat,10
1149,Honda Amaze S Petrol,Kochi,8707.21,2016,51672,Petrol,Manual,First,19,1199,88,5,Honda,8
1150,Skoda Superb Elegance 1.8 TSI AT,Mumbai,20311.72,2015,56073,Petrol,Automatic,First,13,1798,157,5,Skoda,9
1151,Jaguar XF 3.0 Litre S Premium Luxury,Bangalore,24527.36,2011,65000,Diesel,Automatic,First,14,2993,270,5,Jaguar,13
1152,Maruti Wagon R VXI BSIII,Chennai,4598.88,2013,79000,Petrol,Manual,First,18,998,67,5,Maruti,11
1153,Hyundai Santro Xing XL eRLX Euro III,Kolkata,1517.63,2007,43206,Petrol,Manual,First,17,1086,112,5,Hyundai,17
1154,Toyota Corolla Altis VL,Mumbai,7664.8,2010,70200,Petrol,Automatic,First,14,1798,138,5,Toyota,14
1155,Maruti Swift VXi BSIV,Delhi,7281.56,2016,42000,Petrol,Manual,First,16,1197,85,5,Maruti,8
1156,Volkswagen Polo 1.2 MPI Highline,Bangalore,8201.34,2014,62000,Petrol,Manual,First,16,1198,74,5,Volkswagen,10
1157,Hyundai Grand i10 1.2 Kappa Asta,Hyderabad,9167.1,2017,20000,Petrol,Manual,First,18,1197,81,5,Hyundai,7
1158,Maruti SX4 ZDI,Chennai,5365.36,2011,80000,Diesel,Manual,Third,21,1248,88,5,Maruti,13
1159,Hyundai Grand i10 1.2 Kappa Magna,Kochi,7312.22,2018,50234,Petrol,Manual,First,18,1197,81,5,Hyundai,6
1160,Maruti Baleno Delta 1.2,Delhi,8354.63,2016,50003,Petrol,Manual,First,21,1197,83,5,Maruti,8
1161,Tata Tigor 1.2 Revotron XTA,Ahmedabad,10500.78,2018,1000,Petrol,Automatic,First,20,1199,84,5,Tata,6
1162,Maruti Swift Dzire AMT ZDI,Jaipur,11190.61,2016,54897,Diesel,Automatic,First,26,1248,74,5,Maruti,8
1163,Tata Indica GLS BS IV,Pune,1916.2,2007,108995,Petrol,Manual,First,15,1193,65,5,Tata,17
1164,Maruti SX4 S Cross DDiS 320 Zeta,Chennai,12646.92,2015,73000,Diesel,Manual,First,22,1598,118,5,Maruti,9
1165,Maruti Swift VXI BSIII,Ahmedabad,4154.32,2008,65000,Petrol,Manual,First,16,1298,88,5,Maruti,16
1166,Hyundai Xcent 1.2 Kappa SX,Kolkata,5518.66,2016,32000,Petrol,Manual,First,19,1197,82,5,Hyundai,8
1167,Hyundai i20 1.2 Magna,Ahmedabad,4598.88,2010,65000,Petrol,Manual,First,18,1197,80,5,Hyundai,14
1168,Maruti Celerio VXI AT,Hyderabad,7128.26,2016,21600,Petrol,Automatic,First,23,998,67,5,Maruti,8
1169,Mercedes-Benz New C-Class C 220 CDI Elegance AT,Mumbai,14563.12,2010,39000,Diesel,Automatic,First,14,2143,170,5,Mercedes-Benz,14
1170,Maruti Swift Dzire VXi,Mumbai,4522.23,2011,58075,Petrol,Manual,First,17,1298,85,5,Maruti,13
1171,Volkswagen Vento Petrol Trendline,Mumbai,4598.88,2011,58000,Petrol,Manual,First,15,1598,103,5,Volkswagen,13
1172,Maruti Swift ZDi,Hyderabad,9121.11,2015,58000,Diesel,Manual,First,25,1248,74,5,Maruti,9
1173,Toyota Corolla Altis VL,Delhi,6131.84,2008,89000,Petrol,Automatic,First,14,1798,138,5,Toyota,16
1174,Honda Civic 2006-2010 1.8 V MT,Delhi,3832.4,2008,72000,Petrol,Manual,First,13,1799,130,5,Honda,16
1175,Ford EcoSport 1.5 Ti VCT AT Titanium BE,Kolkata,17429.76,2017,1800,Petrol,Automatic,First,16,1499,110,5,Ford,7
1176,Fiat Linea Emotion Pack (Diesel),Pune,3449.16,2010,172050,Diesel,Manual,Second,19,1248,93,5,Fiat,14
1177,Hyundai i10 Era,Jaipur,4752.18,2013,46230,Petrol,Manual,First,19,1086,68,5,Hyundai,11
1178,Volvo XC60 D5 Inscription,Kochi,26336.25,2014,86925,Diesel,Automatic,First,11,2400,215,5,Volvo,10
1179,Hyundai i20 1.2 Asta,Jaipur,9964.24,2018,5000,Petrol,Manual,First,18,1197,81,5,Hyundai,6
1180,Honda City i DTEC S,Ahmedabad,8737.87,2014,66000,Diesel,Manual,First,26,1498,98,5,Honda,10
1181,Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,Ahmedabad,12263.68,2013,119000,Diesel,Manual,First,12,2494,100,8,Toyota,11
1182,Renault KWID RXT,Chennai,3985.7,2016,45000,Petrol,Manual,First,25,799,53,5,Renault,8
1183,Maruti A-Star Vxi,Hyderabad,3755.75,2009,66149,Petrol,Manual,First,19,998,66,5,Maruti,15
1184,Mercedes-Benz B Class B180,Kochi,17736.35,2014,42070,Petrol,Automatic,First,14,1595,120,5,Mercedes-Benz,10
1185,Maruti Wagon R LXI BS IV,Kolkata,3525.81,2012,35503,Petrol,Manual,First,18,998,67,5,Maruti,12
1186,Maruti Swift VDI BSIV,Jaipur,9044.46,2016,41460,Diesel,Manual,First,25,1248,74,5,Maruti,8
1187,Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,11037.31,2015,40600,Petrol,Automatic,First,17,1591,121,5,Hyundai,9
1188,Hyundai Verna CRDi 1.6 AT SX Option,Ahmedabad,9044.46,2013,87000,Diesel,Automatic,First,22,1582,126,5,Hyundai,11
1189,Honda City V MT,Chennai,9197.76,2014,30000,Petrol,Manual,Second,16,1497,116,5,Honda,10
1190,Hyundai i10 Magna Optional 1.1L,Kolkata,2989.27,2010,27089,Petrol,Manual,First,16,1086,66,5,Hyundai,14
1191,Toyota Etios GD SP,Coimbatore,10040.89,2016,53702,Diesel,Manual,First,23,1364,67,5,Toyota,8
1192,Volvo S60 D4 Momentum,Hyderabad,38324.0,2015,51000,Diesel,Automatic,First,27,1969,190,5,Volvo,9
